close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,vxx_adj_close,index_adj_close,RSI
14.94,15.0,14.5,14.51,18273000,3.4266044917,3.4403659556,3.3256870904,3.3279806677,73092000,113950.72,53.2635395478,62.711864404900886
14.85,14.89,14.12,14.54,31853800,3.405962296,3.4151366052,3.2385311528,3.3348613996,127415200,109158.4,53.9329037345,59.365994234754204
14.71,15.24,14.63,15.07,19991800,3.3738522138,3.4954118108,3.3555035953,3.4564209967,79967200,109117.44,53.7454817622,50.0
14.91,14.99,14.5,14.62,11249900,3.4197237598,3.4380723783,3.3256870904,3.353210018,44999600,106782.72,53.9061291671,55.910543130545406
14.8,14.87,14.43,14.65,9976900,3.3944944095,3.4105494506,3.3096320492,3.3600907499,39907600,110018.56,53.9507534462,54.01234568088137
14.77,14.85,14.51,14.84,8947500,3.3876136776,3.405962296,3.3279806677,3.4036687187,35790000,110018.56,54.0221522927,54.5171339576557
14.93,15.1,14.73,14.94,10700500,3.4243109144,3.4633017286,3.3784393684,3.4266044917,42802000,107028.48,54.459470228,62.01298701353856
15.485,15.55,14.86,15.01,17405900,3.5516044548,3.5665127073,3.4082558733,3.4426595329,69623600,103759.872,54.6290424887,69.53455572326882
15.82,15.95,15.69,15.72,12380800,3.6284392945,3.6582557994,3.5986227895,3.6055035214,49523200,98250.3424,55.3787303777,79.77207978478457
15.695,15.76,15.56,15.74,6971700,3.5997695782,3.6146778306,3.5688062846,3.610090676,27886800,97157.12,55.3341060986,81.75182483322162
15.74,15.83,15.46,15.72,10257400,3.610090676,3.6307328718,3.5458705115,3.6055035214,41029600,98099.2,55.4501292243,79.23588041248246
16.31,16.62,15.66,15.74,21190300,3.7408245823,3.8119254788,3.5917420576,3.610090676,84761200,100270.08,55.7446494665,80.5295950299417
16.3,16.5985,16.27,16.51,14048600,3.738531005,3.8069942876,3.7316502731,3.7866961284,56194400,105144.32,56.1462679785,83.65695794019564
15.895,16.2,15.81,16.14,11006700,3.6456411242,3.715595232,3.6261457172,3.7018337682,44026800,114163.712,55.7580367502,70.69243156889335
16.15,16.36,15.82,16.3,15266700,3.7041273455,3.7522924689,3.6284392945,3.738531005,61066800,105512.96,56.27121596,69.9669967097853
16.24,16.38,16.01,16.1499,11343900,3.7247695412,3.7568796235,3.6720172632,3.7041044097,45375600,108625.92,56.4140136531,72.93729373564163
16.17,16.9,16.13,16.39,27771400,3.7087145001,3.8761456433,3.6995401909,3.7591732008,111085600,114769.92,56.021319997,74.66216216629245
16.45,16.58,15.0,15.06,47214700,3.7729346646,3.8027511695,3.4403659556,3.4541274194,188858800,110346.24,56.7888575977,75.32894737512032
15.85,16.57,15.7,16.4582,25509000,3.6353200264,3.8004575922,3.6009163668,3.774815398,102036000,108933.12,56.6103604812,64.87252124911811
15.925,16.32,15.81,15.84,12954400,3.6525218562,3.7431181596,3.6261457172,3.6330264491,51817600,108789.76,56.771007886,66.15384615666056
15.82,16.24,15.8,15.85,12310800,3.6284392945,3.7247695412,3.6238521399,3.6353200264,49243200,105717.76,56.5121870672,62.642045458961626
15.91,16.0,15.6,15.845,8099200,3.6490814902,3.6697236859,3.5779805938,3.6341732377,32396800,98836.48,56.8870310117,56.9558101475798
15.79,15.98,15.72,15.96,9166700,3.6215585626,3.6651365313,3.6055035214,3.6605493767,36666800,102604.8,57.0833778398,49.471830986645266
15.47,15.66,15.245,15.59,18631700,3.5481640888,3.5917420576,3.4965585995,3.5756870165,74526800,103669.76,57.1637015422,46.293245464339215
15.33,15.65,15.17,15.47,17497100,3.5160540066,3.5894484803,3.4793567697,3.5481640888,69988400,102236.16,57.7438171707,43.45047923629761
15.15,15.64,15.14,15.38,17229900,3.4747696151,3.587154903,3.4724760378,3.5275218931,68919600,100433.92,57.4849963518,28.83211679017954
15.25,15.43,15.15,15.21,11248600,3.4977053882,3.5389897796,3.4747696151,3.4885310789,44994400,98877.44,57.9401639988,31.448763259212612
15.38,15.6,15.2,15.2,17101900,3.5275218931,3.5779805938,3.4862375016,3.4862375016,68407600,99434.496,57.8955397196,39.921722117042734
14.86,15.3,14.75,15.27,12871200,3.4082558733,3.5091732747,3.383026523,3.5022925428,51484800,99082.24,57.2975743795,27.127659571178498
14.72,14.81,14.46,14.69,11785000,3.3761457911,3.3967879868,3.3165127812,3.3692650591,47140000,106618.88,56.7353084627,23.51916376531578
14.81,14.87,14.6,14.8,11049600,3.3967879868,3.4105494506,3.3486228634,3.3944944095,44198400,101298.176,57.172626398,26.47058823307549
14.855,15.01,14.772,14.85,10771300,3.4071090847,3.4426595329,3.388072393,3.405962296,43085200,97484.8,57.7884414498,19.96233521827341
14.82,15.01,14.74,14.9,9195900,3.3990815641,3.4426595329,3.3807329457,3.4174301825,36783600,95600.64,58.029412557,25.358851674042214
14.585,14.98,14.55,14.88,7498700,3.3451824975,3.435778801,3.3371549769,3.4128430279,29994800,91218.3296,58.0561871244,20.222222219939937
14.79,14.87,14.58,14.65,13832200,3.3922008322,3.4105494506,3.3440357088,3.3600907499,55328800,87035.904,59.136094679,28.085106378399587
14.365,14.815,14.32,14.79,18392700,3.2947237968,3.3979347754,3.2844026989,3.3922008322,73570800,89864.192,59.3413663629,21.229050279057432
14.58,14.66,14.36,14.41,9559500,3.3440357088,3.3623843272,3.2935770081,3.3050448946,38238000,88547.328,59.5109386235,28.237410066865024
14.6,14.66,14.51,14.59,10708500,3.3486228634,3.3623843272,3.3279806677,3.3463292861,42834000,88298.7008,59.4688400786,32.45967741765348
14.64,14.75,14.57,14.68,10135000,3.3577971726,3.383026523,3.3417421315,3.3669714818,40540000,82962.432,59.8890197965,35.50420167443754
14.4,14.56,14.27,14.56,11240400,3.3027513173,3.3394485542,3.2729348124,3.3394485542,44961600,79134.72,59.9962997245,34.63114753615021
14.46,14.59,14.24,14.4,11696000,3.3165127812,3.3463292861,3.2660540805,3.3027513173,46784000,75202.56,60.0052397185,33.54166666333613
14.44,14.56,14.31,14.35,10634300,3.3119256266,3.3394485542,3.2821091216,3.2912834308,42537200,76103.68,59.8800798025,29.4759825354532
14.545,14.59,14.3,14.4,7886400,3.3360081882,3.3463292861,3.2798155443,3.3027513173,31545600,70860.8,59.8434258271,41.59999999330308
14.72,14.79,14.55,14.69,7215000,3.3761457911,3.3922008322,3.3371549769,3.3692650591,28860000,64178.176,60.8902991244,50.0
14.82,15.0,14.75,14.78,10499200,3.3990815641,3.4403659556,3.383026523,3.3899072549,41996800,70451.2,60.9796990643,50.26041666625267
15.16,15.36,14.9,15.01,22311200,3.4770631924,3.5229347385,3.4174301825,3.4426595329,89244800,70983.68,60.7365312276,56.884875841257994
15.23,15.35,14.95,15.14,9317500,3.4931182335,3.5206411612,3.428898069,3.4724760378,37270000,70615.04,60.5058793824,59.1111111084413
15.395,15.49,15.14,15.36,13181000,3.5309622591,3.5527512434,3.4724760378,3.5229347385,52724000,68732.928,60.3896594604,68.57798165165131
15.33,15.4899,15.111,15.36,10194400,3.5160540066,3.5527283077,3.4658246636,3.5229347385,40777600,68765.696,61.0154590403,63.23529411638985
15.08,15.4576,15.0,15.44,10761900,3.458714574,3.545320053,3.4403659556,3.5412833569,43047600,70041.6,60.9975790523,69.16890079990222
